no,年,月,日,地名(中文),纬度,经度,震级,标度,死亡人数,受伤人数
1,1902,4,19,"危地马拉:克萨尔特南戈,圣马科斯",14,-91,7.5,Mw,2000,
2,1902,8,22,中国:新疆喀什北部,39.9,76.2,8.25,Mw,2500,
3,1902,12,16,乌兹别克斯坦:安第札,40.8,72.3,6.4,Ms,4880,
4,1903 ,4 ,19 ,土耳其:穆什,39.1,42.4,7,Ms,1700,
5,1903 ,4 ,28 ,土耳其:马拉兹吉尔特,39.1,42.5,6.3,Ms,3560,
6,1903 ,5 ,28 ,土耳其:阿尔达汉,40.9,42.7,5.8,Muk,1000,
7,1905 ,4 ,4 ,印度:坎格拉,33,76,7.8,Mw,20000,
8,1905 ,9 ,8 ,"意大利:蒙特莱奥内,特罗佩阿",38.67,16.07,6.8,Ms,557,
9,1906,1,31,厄瓜多尔:西部沿海,1,-81.5,8.8,M,1000,
10,1906,3,16,中国:台湾嘉义,23.6,120.5,6.75,Ms,1258,745
11,1906,4,18,美国:加利福尼亚州旧金山,37.67,-122.48,7.8,M,700,
12,1906,8,17,智利:瓦尔帕莱索近海,-33,-72,8.2,M,1500,
13,1907,1,14,牙买加:金斯敦,18.2,-76.7,6.5,Muk,1000,
14,1907,10,21,塔吉克斯坦:哈特隆州,38,69,7.2,Mw,12000,
15,1908 ,12 ,28 ,"意大利:墨西拿,西西里岛",38.15,15.68,7.24,Ms,82220,
16,1909 ,1 ,23 ,伊朗:伊斯法罕西部,33,50,7,Ms,5500,
17,1910,4,13,哥斯达黎加:卡塔哥,9.8,-84,7,Mk,1750,
18,1910,5,4,"哥斯达黎加:卡塔哥,圣何塞",10,-84,6.4,Mk,700,
19,1911,1,27,菲律宾:八打雁,14.002,120.993,7.8,Mk,1335,199
20,1911 ,4 ,18 ,阿曼:伊卜里,23,56,6.7,Muk,700,
21,1912,8,9,土耳其:马尔马拉海,40.5,27.2,7.6,Mw,3000,1575
22,1913,12,21,中国:云南峨山,24.15,102.45,7.2,Mw,942,112
23,1914,10,3,"土耳其:布尔杜尔,克伦奇",37.82,30.27,7.1,Mw,4000,700
24,1915 ,1 ,13 ,"意大利:马尔西卡山,阿韦扎偌",42.013,13.53,6.9,Ms,29978,
25,1917 ,1 ,21 ,印度尼西亚:巴厘岛,-7,116,6.6,Ms,1500,
26,1917,7,30,中国:云南大关北,28,104,7.3,Mw,1800,
27,1917,12,26,危地马拉:危地马拉城,14,-90,6,Ms,2650,
28,1918,2,13,中国:广东南澳近海,23.2,117.4,7.5,Ms,2000,
29,1920,1,3,墨西哥:韦拉克鲁斯;普埃布拉,19.26,-96.97,7.8,Ms,648,167
30,1920 ,9 ,7 ,"意大利:卡拉拉,弗加法格纳纳",44.18,10.28,6.48,Ms,1400,
31,1920,11,26,"阿尔巴尼亚:台佩莱纳,丹瑞哥帝",40.2,20,6.3,Muk,600,
32,1920,12,16,中国:宁夏海原,36.7,104.9,8.5,Ms,200000,
33,1922,11,11,智利:阿塔卡马,-28.553,-70.755,8.7,Mw,700,
34,1923,3,24,中国:四川炉霍,31.5,101,7.2,Mw,4800,
35,1923 ,5 ,25 ,伊朗:托尔巴特海达里耶,35.2,59.2,5.7,Ms,2200,
36,1923,9,1,"日本:东京,横滨",35.1,139.5,7.9,M,142807,103733
37,1924,12,2,印度尼西亚:爪哇岛,-7.3,109.9,6.5,Mk,727,
38,1925,3,16,中国:云南大理,25.7,100.4,7,Ms,5000,
39,1925 ,12 ,14 ,伊朗:呼罗珊,34.6,58.1,5.5,Muk,500,
40,1927,3,7,日本:京都京丹后,35.802,134.924,7.6,Ms,2956,7806
41,1927,5,22,中国:甘肃古浪西,37.7,102.2,8,Ms,40912,524
42,1929 ,5 ,1 ,伊朗:博季努尔德,37.957,57.693,7.1,Mw,3800,
43,1930,3,31,尼加拉瓜:马拉瓜,12.1,-86.2,6.4,Mk,1000,
44,1930,5,5,"缅甸:勃固,仰光",17.3,96.5,7.2,Mw,550,
45,1930 ,5 ,6 ,伊朗:乌尔米耶,38.152,44.685,7.1,Mw,1360,
46,1930 ,7 ,23 ,意大利:伊尔皮尼亚,41.05,15.37,6.72,Ms,1430,
47,1931,3,31,尼加拉瓜:马塔加尔帕,13.2,-85.7,5.6,Muk,2450,
48,1931 ,4 ,27 ,亚美尼亚:卡潘,39.48,46.09,6.4,Ms,2890,
49,1931,8,10,中国:新疆富蕴,47.1,89.8,8,Mw,10000,
50,1932 ,5 ,20 ,伊朗:马赞德兰,36.6,53.4,5.4,Muk,1070,
51,1933,3,2,日本海沟,39.1,144.7,8.4,M,3064,1092
52,1933,8,25,中国:四川茂县西,31.9,103.4,7.3,Mw,9300,
53,1934 ,1 ,15 ,印度:比哈尔;尼泊尔:加德满都,26.5,86.5,8.1,M,10600,
54,1935 ,4 ,11 ,伊朗:马赞德兰,36.432,53.621,6.8,Muk,690,
55,1935 ,4 ,20 ,中国:台湾台中,24.364,120.613,7.1,Ms,3276 ,12053
56,1935 ,5 ,1 ,土耳其:宾格尔,39.3,40.6,6.1,Muk,540,
57,1935,5,30,巴基斯坦:奎达,28.894,66.176,8.1,Mw,60000,
58,1935,7,16,中国:台湾苗栗,24.6,120.8,6.5,Ms,2746,6004
59,1939,1,25,智利:奇廉,-36.2,-72.2,7.7,Mw,30000,
60,1939 ,12 ,26 ,土耳其:埃尔津占,39.77,39.533,7.8,Ms,32700,
61,1940,1,15,阿根廷:圣胡安,-31,-69,7,Mk,10000,
62,1940,11,10,罗马尼亚:弗朗恰,45.773,26.655,7.3,mB,1000,
63,1941,1,11,也门:萨纳,16.4,43.5,6.5,mB,1200,200
64,1941 ,2 ,16 ,伊朗:呼罗珊,33.5,58.6,6.3,Muk,730,
65,1941 ,6 ,26 ,"印度:安达曼群岛,马德拉斯",12.149,92.478,7.7,Mw,5000,
66,1942,11,26,"土耳其:哈佛扎,拉迪克",40.5,34,7.6,Muk,4000,
67,1942,12,20,"土耳其:尼克萨尔,埃尔巴",40.9,36.5,7.2,Mw,1000,
68,1943,9,10,日本:鸟取三朝,35.3,133.9,7,Mw,1400,
69,1943,11,26,土耳其:拉迪克,41,33.7,7.5,Mw,4020,
